X,Y,OBJECTID,fid,word,country_predicted,file_name,admin1,lat,lon,country_code3,geonameid,place_name,feature_class,feature_code,icon_url
21.09375,7.18810000000002,"1",1,AFRICA,NA,Mercenary_Yair_Klein_Possibly_,NA,"7.1881","21.09375",NA,"6255146",Africa,L,CONT,./0.png
-72.5856,11.1597,"2",2,ALBANIA,COL,EUM_Certification_for_the_Colo,La Guajira,"11.1597","-72.5856",COL,"9179910",Albania,A,ADM2,./0.png
-100.54688,46.07323,"3",3,AMERICA,NA,Colombia_Scene_Setter_for_Vis,NA,"46.07323","-100.54688",NA,"6255149",North America,L,CONT,./0.png
-75.89905,5.66973999999999,"4",4,ANDES,COL,Ambassador_Meets_with_Defense_,Antioquia,"5.66974","-75.89905",COL,"3689900",Andes,A,ADM2,./0.png
-75.68111,4.53388999999999,"5",5,ARMENIA,COL,Colombia_Scene_Setter_for_Vis,Quindío,"4.53389","-75.68111",COL,"3689560",Armenia,P,PPLA,./0.png
-73.85472,7.06527999999997,"6",6,BARRANCABERMEJA,COL,"Massacres_in_Barrancabermeja,_",Santander,"7.06528","-73.85472",COL,"3689169",Barrancabermeja,P,PPLA2,./0.png
-74.78132,10.96854,"7",7,BARRANQUILLA,COL,"12_August_1999,_Colombia_Kidna",Atlántico,"10.96854","-74.78132",COL,"3689147",Barranquilla,P,PPLA,./0.png
-74.78132,10.96854,"8",8,BARRANQUILLA,COL,High-Profile_Peace_Activist_Gu,Atlántico,"10.96854","-74.78132",COL,"3689147",Barranquilla,P,PPLA,./0.png
-74.78132,10.96854,"9",9,BARRANQUILLA,COL,Political_Violence_in_Bolívar_,Atlántico,"10.96854","-74.78132",COL,"3689147",Barranquilla,P,PPLA,./0.png
-74.08175,4.60971000000001,"10",10,BOGOTA,COL,"12_August_1999,_Colombia_Kidna",Bogota D.C.,"4.60971","-74.08175",COL,"3688689",Bogotá,P,PPLC,./0.png
